2689.00,899.00,-73.79,35.00
3556.00,1929.00,-68.42,78.00
3600.00,2858.00,-70.47,38.00
1174.00,397.00,-75.36,27.00
2793.00,872.00,-72.87,71.00
3690.00,2790.00,-69.52,42.00
2520.00,741.00,-74.71,59.00
3261.00,683.00,-74.20,68.00
2655.00,630.00,-74.05,45.00
3024.00,633.00,-73.09,50.00
3436.00,1034.00,-71.83,92.00
3600.00,2610.00,-64.73,45.00
2655.00,540.00,-74.76,45.00
2115.00,451.00,-78.91,28.00
2166.00,461.00,-79.72,16.00
692.00,888.00,-55.01,24.00
2990.00,663.00,-75.97,36.00
2523.00,658.00,-70.76,69.00
3423.00,912.00,-70.39,63.00
3330.00,810.00,-73.47,60.00
1515.00,410.00,-74.39,51.00
1578.00,705.00,-75.08,42.00
3375.00,955.00,-72.34,62.00
3705.00,1348.00,-61.64,64.00
2966.00,502.00,-76.78,41.00
2071.00,669.00,-71.06,72.00
1165.00,741.00,-76.47,49.00
2623.00,753.00,-73.38,47.00
3686.00,963.00,-62.83,79.00
3555.00,1631.00,-68.53,63.00
3195.00,497.00,-75.69,87.00
3521.00,1706.00,-70.27,58.00
3527.00,2518.00,-77.17,73.00
1890.00,900.00,-75.99,39.00
3600.00,2700.00,-65.99,45.00
2646.00,429.00,-70.11,46.00
1607.00,408.00,-75.05,35.00
3572.00,2790.00,-67.22,37.00
2708.00,872.00,-72.50,45.00
3105.00,810.00,-68.99,54.00
1483.00,753.00,-72.98,46.00
2860.00,845.00,-76.78,75.00
3642.00,963.00,-63.87,64.00
1262.00,742.00,-74.79,45.00
1575.00,900.00,-76.79,42.00
888.00,738.00,-73.14,45.00
2746.00,906.00,-72.49,71.00
3780.00,1035.00,-68.21,67.00
1980.00,900.00,-72.96,53.00
3703.00,1393.00,-62.53,66.00
1164.00,909.00,-72.02,38.00
675.00,585.00,-76.07,45.00
1954.00,707.00,-72.11,75.00
1530.00,900.00,-76.88,42.00
3116.00,622.00,-73.05,74.00
3555.00,2385.00,-67.15,60.00
3555.00,2565.00,-69.65,70.00
3690.00,2565.00,-64.32,44.00
3555.00,2115.00,-72.42,66.00
1981.00,671.00,-71.72,75.00
2114.00,666.00,-69.29,52.00
1534.00,383.00,-74.52,48.00
3690.00,2295.00,-73.71,55.00
3329.00,861.00,-68.12,67.00
2070.00,450.00,-77.21,34.00
1362.00,835.00,-68.66,39.00
2885.00,870.00,-74.52,85.00
1395.00,900.00,-70.40,53.00
2027.00,408.00,-76.80,53.00
2072.00,363.00,-78.04,39.00
1533.00,463.00,-82.26,30.00
2153.00,364.00,-78.06,29.00
3645.00,1755.00,-67.27,64.00
3690.00,1035.00,-64.36,82.00
3690.00,2250.00,-73.20,55.00
3689.00,1000.00,-64.94,80.00
2025.00,639.00,-71.17,69.00
2880.00,908.00,-68.58,73.00
1980.00,405.00,-76.89,61.00
2563.00,370.00,-75.98,39.00
2295.00,405.00,-77.34,23.00
1259.00,658.00,-74.47,42.00
3645.00,2565.00,-64.99,44.00
3600.00,1001.00,-65.54,69.00
2158.00,664.00,-72.31,70.00
811.00,438.00,-78.92,30.00
2385.00,405.00,-78.32,57.00
2565.00,900.00,-74.69,48.00
1303.00,741.00,-72.91,50.00
667.00,812.00,-67.17,22.00
1436.00,854.00,-72.76,50.00
2240.00,453.00,-79.12,20.00
3646.00,1886.00,-66.13,58.00
3555.00,1845.00,-67.95,72.00
3655.00,2024.00,-68.33,70.00
1303.00,389.00,-79.17,46.00
2111.00,730.00,-69.92,58.00
3108.00,890.00,-68.43,72.00
1665.00,705.00,-76.42,51.00
1035.00,390.00,-75.20,36.00
1644.00,397.00,-73.09,35.00
3016.00,886.00,-72.99,57.00
3555.00,2430.00,-67.38,65.00
919.00,809.00,-75.83,42.00
3601.00,2421.00,-68.37,58.00
2430.00,659.00,-72.59,65.00
3195.00,540.00,-77.32,80.00
2385.00,900.00,-72.57,34.00
1315.00,684.00,-71.84,46.00
3645.00,1800.00,-68.04,70.00
1305.00,900.00,-73.92,45.00
1207.00,380.00,-78.83,32.00
1929.00,680.00,-70.42,54.00
3426.00,958.00,-71.25,67.00
2600.00,725.00,-73.56,59.00
1080.00,388.00,-72.02,31.00
945.00,899.00,-71.13,38.00
3551.00,962.00,-65.36,61.00
3716.00,2776.00,-69.44,45.00
720.00,540.00,-73.99,46.00
2973.00,886.00,-73.28,55.00
2070.00,900.00,-73.78,39.00
3690.00,1755.00,-68.89,73.00
2655.00,675.00,-74.47,55.00
2922.00,931.00,-69.71,72.00
3690.00,2655.00,-64.84,46.00
2475.00,900.00,-71.14,21.00
2564.00,452.00,-79.73,43.00
3644.00,1705.00,-66.35,64.00
